archivo_entrada,algoritmo,n,tipo,dominio,muestra,tiempo_us,tiempo_ms,memoria_kb,resultado_correcto,archivo_salida
1000_aleatorio_D1_b.txt,patience,1000,aleatorio,D1,b,3083,3.08342,0,true,data/array_output/1000_aleatorio_D1_b_patience.txt
1000_aleatorio_D1_b.txt,stdsort,1000,aleatorio,D1,b,779,0.779369,0,true,data/array_output/1000_aleatorio_D1_b_stdsort.txt
1000_aleatorio_D1_c.txt,merge,1000,aleatorio,D1,c,1920,1.92039,0,true,data/array_output/1000_aleatorio_D1_c_merge.txt
1000_aleatorio_D1_c.txt,quick,1000,aleatorio,D1,c,3504,3.5043,0,true,data/array_output/1000_aleatorio_D1_c_quick.txt
1000_aleatorio_D1_c.txt,patience,1000,aleatorio,D1,c,2065,2.06595,0,true,data/array_output/1000_aleatorio_D1_c_patience.txt
1000_aleatorio_D1_c.txt,stdsort,1000,aleatorio,D1,c,910,0.910001,0,true,data/array_output/1000_aleatorio_D1_c_stdsort.txt
1000_aleatorio_D7_a.txt,merge,1000,aleatorio,D7,a,2038,2.03842,0,true,data/array_output/1000_aleatorio_D7_a_merge.txt
1000_aleatorio_D7_a.txt,quick,1000,aleatorio,D7,a,748,0.748618,0,true,data/array_output/1000_aleatorio_D7_a_quick.txt
1000_aleatorio_D7_a.txt,patience,1000,aleatorio,D7,a,4215,4.21529,0,true,data/array_output/1000_aleatorio_D7_a_patience.txt
1000_aleatorio_D7_a.txt,stdsort,1000,aleatorio,D7,a,930,0.93012,0,true,data/array_output/1000_aleatorio_D7_a_stdsort.txt
1000_aleatorio_D7_b.txt,merge,1000,aleatorio,D7,b,2261,2.26176,0,true,data/array_output/1000_aleatorio_D7_b_merge.txt
1000_aleatorio_D7_b.txt,quick,1000,aleatorio,D7,b,245,0.245905,0,true,data/array_output/1000_aleatorio_D7_b_quick.txt
1000_aleatorio_D7_b.txt,patience,1000,aleatorio,D7,b,1799,1.79989,0,true,data/array_output/1000_aleatorio_D7_b_patience.txt
1000_aleatorio_D7_b.txt,stdsort,1000,aleatorio,D7,b,981,0.981189,0,true,data/array_output/1000_aleatorio_D7_b_stdsort.txt
1000_aleatorio_D7_c.txt,merge,1000,aleatorio,D7,c,682,0.682761,0,true,data/array_output/1000_aleatorio_D7_c_merge.txt
1000_aleatorio_D7_c.txt,quick,1000,aleatorio,D7,c,654,0.654253,0,true,data/array_output/1000_aleatorio_D7_c_quick.txt
1000_aleatorio_D7_c.txt,patience,1000,aleatorio,D7,c,4339,4.33904,0,true,data/array_output/1000_aleatorio_D7_c_patience.txt
1000_aleatorio_D7_c.txt,stdsort,1000,aleatorio,D7,c,960,0.960086,0,true,data/array_output/1000_aleatorio_D7_c_stdsort.txt
1000_ascendente_D1_a.txt,merge,1000,ascendente,D1,a,1777,1.77707,0,true,data/array_output/1000_ascendente_D1_a_merge.txt
1000_ascendente_D1_a.txt,quick,1000,ascendente,D1,a,27932,27.9329,0,true,data/array_output/1000_ascendente_D1_a_quick.txt
1000_ascendente_D1_a.txt,patience,1000,ascendente,D1,a,2468,2.46879,0,true,data/array_output/1000_ascendente_D1_a_patience.txt
1000_ascendente_D1_a.txt,stdsort,1000,ascendente,D1,a,523,0.523998,0,true,data/array_output/1000_ascendente_D1_a_stdsort.txt
1000_ascendente_D1_b.txt,merge,1000,ascendente,D1,b,1723,1.72305,0,true,data/array_output/1000_ascendente_D1_b_merge.txt
1000_ascendente_D1_b.txt,quick,1000,ascendente,D1,b,24731,24.7311,0,true,data/array_output/1000_ascendente_D1_b_quick.txt
1000_ascendente_D1_b.txt,patience,1000,ascendente,D1,b,1521,1.52121,0,true,data/array_output/1000_ascendente_D1_b_patience.txt
1000_ascendente_D1_b.txt,stdsort,1000,ascendente,D1,b,307,0.307187,0,true,data/array_output/1000_ascendente_D1_b_stdsort.txt
1000_ascendente_D1_c.txt,merge,1000,ascendente,D1,c,343,0.343623,0,true,data/array_output/1000_ascendente_D1_c_merge.txt
1000_ascendente_D1_c.txt,quick,1000,ascendente,D1,c,30566,30.5662,0,true,data/array_output/1000_ascendente_D1_c_quick.txt
1000_ascendente_D1_c.txt,patience,1000,ascendente,D1,c,2476,2.4769,0,true,data/array_output/1000_ascendente_D1_c_patience.txt
1000_ascendente_D1_c.txt,stdsort,1000,ascendente,D1,c,555,0.55544,0,true,data/array_output/1000_ascendente_D1_c_stdsort.txt
1000_ascendente_D7_a.txt,merge,1000,ascendente,D7,a,1692,1.69282,0,true,data/array_output/1000_ascendente_D7_a_merge.txt
1000_ascendente_D7_a.txt,quick,1000,ascendente,D7,a,27483,27.4835,0,true,data/array_output/1000_ascendente_D7_a_quick.txt
